sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
1,5,0.009728014469146729,0.652,0.6533960188056417
1,10,0.07461386919021606,0.4121666666666667,0.414924477343203
1,15,0.05700758844614029,0.545,0.5447634290287087
1,20,0.02021174319088459,0.6198333333333333,0.6120836250875262
1,25,0.020121242851018906,0.7773333333333333,0.7747324197259178
1,30,0.011964322067797184,0.825,0.8291487446233871
1,35,0.005414418410509825,0.8428333333333333,0.8393518055416624
1,40,0.008914120495319366,0.8475,0.845853756126838
1,45,0.014340808615088463,0.6975,0.6996098829648895
1,50,0.01330080907791853,0.7415,0.7349204761428428
1,55,0.009993592277169228,0.7616666666666667,0.7634290287086126
1,60,0.014305750839412212,0.7776666666666666,0.776332899869961
1,65,0.0046049985103309155,0.7935,0.7928378513554066
1,70,0.008554687723517418,0.7941666666666667,0.785335600680204
1,75,0.015837065875530243,0.7618333333333334,0.7571271381414424
1,80,0.0168410986661911,0.7471666666666666,0.7403220966289887
1,85,0.011294690892100334,0.6796666666666666,0.6778033410023007
1,90,0.028828132897615433,0.774,0.7678303491047315
1,95,0.007822432555258274,0.7908333333333334,0.7860358107432229
1,100,0.00982287060469389,0.821,0.8062418725617685
1,105,0.007279850076884031,0.8216666666666667,0.8148444533360008
1,110,0.008929523639380932,0.816,0.8088426527958388
1,115,0.009647304192185402,0.7763333333333333,0.7692307692307693
1,120,0.006192184519022703,0.814,0.8046413924177254
1,125,0.00539333326742053,0.8126666666666666,0.7992397719315795
1,130,0.0036079352721571922,0.866,0.8547564269280784
1,135,0.003653093706816435,0.8646666666666667,0.8551565469640893
1,140,0.015488172881305218,0.8435,0.8345503651095328
1,145,0.007139533292502165,0.8638333333333333,0.8596578973692107
1,150,0.004386716987937689,0.8693333333333333,0.8617585275582674
1,155,0.006026519928127527,0.8663333333333333,0.8588576572971891
1,160,0.001992400735616684,0.9068333333333334,0.8922676803040912
1,165,0.002423051744699478,0.8945,0.8810643192957888
1,170,0.0018357678782194853,0.9063333333333333,0.8927678303491048
1,175,0.0031730355694890022,0.8608333333333333,0.8511553466039812
1,180,0.00939884316176176,0.847,0.8358507552265679
1,185,0.007863684557378292,0.8455,0.8391517455236571
1,190,0.0035136796068400145,0.8766666666666667,0.8681604481344404
1,195,0.013033561408519745,0.7655,0.7558267480244073
1,200,0.013061954639852047,0.8678333333333333,0.8552565769730919
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
2,5,0.07392485439777374,0.293,0.2960888266479944
2,10,0.1615592986345291,0.3636666666666667,0.3585075522656797
2,15,0.15311001241207123,0.4095,0.4135240572171652
2,20,0.08652442693710327,0.44633333333333336,0.45263579073722116
2,25,0.05826938897371292,0.6781666666666667,0.6684005201560468
2,30,0.10101552307605743,0.5011666666666666,0.48664599379813944
2,35,0.08832848072052002,0.6853333333333333,0.6822046613984195
2,40,0.059682898223400116,0.6416666666666667,0.6313894168250476
2,45,0.05731423571705818,0.7298333333333333,0.7159147744323296
2,50,0.030925806611776352,0.6615,0.6531959587876363
2,55,0.04398130252957344,0.6616666666666666,0.6515954786435931
2,60,0.05396765470504761,0.694,0.6879063719115734
2,65,0.02415402978658676,0.7418333333333333,0.7231169350805241
2,70,0.0313093364238739,0.6755,0.6549964989496849
2,75,0.06451833248138428,0.7108333333333333,0.7006101830549165
2,80,0.054302554577589035,0.638,0.626888066419926
2,85,0.042805302888154984,0.756,0.7345203561068321
2,90,0.014493715949356556,0.7321666666666666,0.7213163949184755
2,95,0.045531414449214935,0.6738333333333333,0.6567970391117335
2,100,0.0712895542383194,0.669,0.6615984795438632
2,105,0.03701421245932579,0.6973333333333334,0.680404121236371
2,110,0.015524554066359997,0.7593333333333333,0.7387216164849455
2,115,0.021494779735803604,0.7668333333333334,0.7471241372411723
2,120,0.011784510686993599,0.7496666666666667,0.7250175052515755
2,125,0.011581742204725742,0.7818333333333334,0.7592277683304991
2,130,0.01930238865315914,0.77,0.7444233269980994
2,135,0.06687187403440475,0.5073333333333333,0.4935480644193258
2,140,0.08345864713191986,0.6771666666666667,0.6661998599579874
2,145,0.04661387577652931,0.6765,0.6663999199759928
2,150,0.05150189623236656,0.6636666666666666,0.6424927478243473
2,155,0.012980308383703232,0.778,0.7488246473942183
2,160,0.0427798293530941,0.651,0.6454936480944283
2,165,0.05029235780239105,0.6236666666666667,0.6069820946283885
2,170,0.04024287313222885,0.6535,0.6345903771131339
2,175,0.033202774822711945,0.67,0.6393918175452635
2,180,0.05042464658617973,0.6606666666666666,0.6505951785535661
2,185,0.0309076439589262,0.7161666666666666,0.6936080824247274
2,190,0.02879435382783413,0.7115,0.6928078423527058
2,195,0.02883484959602356,0.7685,0.7504251275382615
2,200,0.036699265241622925,0.6838333333333333,0.6706011803541062
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
3,5,0.07775592803955078,0.3295,0.31469440832249673
3,10,0.1050572618842125,0.48683333333333334,0.4810443132939882
3,15,0.1827886700630188,0.37,0.369110733219966
3,20,0.17580385506153107,0.4165,0.40282084625387615
3,25,0.18765459954738617,0.4696666666666667,0.4567370211063319
3,30,0.11016086488962173,0.5021666666666667,0.4851455436630989
3,35,0.1627899706363678,0.45066666666666666,0.43513053916174854
3,40,0.12336833029985428,0.636,0.6179853956186856
3,45,0.17674481868743896,0.466,0.45193558067420225
3,50,0.11682189255952835,0.6041666666666666,0.5854756426928078
3,55,0.184188574552536,0.4666666666666667,0.4517355206561969
3,60,0.11727158725261688,0.5788333333333333,0.5657697309192757
3,65,0.16028788685798645,0.5008333333333334,0.4843453035910773
3,70,0.1127333715558052,0.6128333333333333,0.5913774132239672
3,75,0.15483790636062622,0.5143333333333333,0.4925477643292988
3,80,0.10569741576910019,0.6131666666666666,0.5912773832149645
3,85,0.154011532664299,0.5003333333333333,0.4802440732219666
3,90,0.1104808822274208,0.6188333333333333,0.6005801740522156
3,95,0.15368406474590302,0.5485,0.5314594378313494
3,100,0.08439967781305313,0.6633333333333333,0.641592477743323
3,105,0.13222816586494446,0.5241666666666667,0.5056516955086526
3,110,0.09941419214010239,0.6541666666666667,0.6362908872661799
3,115,0.159065842628479,0.506,0.48484545363609083
3,120,0.098890520632267,0.6003333333333334,0.581074322296689
3,125,0.11827031522989273,0.5353333333333333,0.5136540962288687
3,130,0.08396772295236588,0.6658333333333334,0.6401920576172851
3,135,0.12343431264162064,0.5678333333333333,0.5534660398119435
3,140,0.0913918986916542,0.6555,0.6365909772931879
3,145,0.1490868330001831,0.5258333333333334,0.5041512453736121
3,150,0.10272877663373947,0.652,0.633890167050115
3,155,0.1388665735721588,0.5236666666666666,0.50185055516655
3,160,0.08992146700620651,0.669,0.6457937381214365
3,165,0.1282288134098053,0.5731666666666667,0.5572671801540462
3,170,0.08519861102104187,0.6801666666666667,0.6516955086525957
3,175,0.12834979593753815,0.5568333333333333,0.535960788236471
3,180,0.10495192557573318,0.622,0.5995798739621887
3,185,0.1622760146856308,0.5446666666666666,0.5215564669400821
3,190,0.11428506672382355,0.599,0.5832749824947484
3,195,0.15661297738552094,0.5425,0.5133540062018606
3,200,0.09730593860149384,0.6093333333333333,0.5953786135840752
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
4,5,0.09189778566360474,0.29183333333333333,0.29238771631489446
4,10,0.18575622141361237,0.337,0.33820146043813143
4,15,0.19782096147537231,0.429,0.42592777833350004
4,20,0.15118730068206787,0.3785,0.37781334400320093
4,25,0.15150421857833862,0.4655,0.4521356406922077
4,30,0.13542096316814423,0.521,0.5126537961388417
4,35,0.06576544046401978,0.7075,0.7027108132439732
4,40,0.051522642374038696,0.6375,0.6286886065819746
4,45,0.07287447899580002,0.6943333333333334,0.6853055916775033
4,50,0.04997418075799942,0.5893333333333334,0.5709712913874162
4,55,0.06224525347352028,0.6893333333333334,0.6782034610383115
4,60,0.049261096864938736,0.6345,0.6228868660598179
4,65,0.05585150048136711,0.7235,0.7159147744323296
4,70,0.04704893007874489,0.598,0.5914774432329699
4,75,0.0531938411295414,0.6976666666666667,0.68740622186656
4,80,0.03883403539657593,0.673,0.6549964989496849
4,85,0.05171328783035278,0.6471666666666667,0.6431929578873662
4,90,0.03683427721261978,0.6513333333333333,0.6347904371311394
4,95,0.03286820277571678,0.6435,0.6283885165549665
4,100,0.018204430118203163,0.7121666666666666,0.7059117735320596
4,105,0.02865489199757576,0.707,0.7016104831449435
4,110,0.013293436728417873,0.7628333333333334,0.7367210163048915
4,115,0.01673264056444168,0.7766666666666666,0.7715314594378313
4,120,0.013042599894106388,0.7263333333333334,0.7029108732619785
4,125,0.02465963177382946,0.7726666666666666,0.757627288186456
4,130,0.02934032678604126,0.6748333333333333,0.6636991097329199
4,135,0.05639563128352165,0.6576666666666666,0.649594878463539
4,140,0.06320641934871674,0.5581666666666667,0.5533660098029409
4,145,0.0375845804810524,0.7628333333333334,0.7494248274482345
4,150,0.03591533005237579,0.6875,0.6741022306692007
4,155,0.04189685359597206,0.6941666666666667,0.68740622186656
4,160,0.04712622985243797,0.6145,0.5950785235570671
4,165,0.043675497174263,0.748,0.7306191857557267
4,170,0.04829578474164009,0.634,0.6190857257177154
4,175,0.08559248596429825,0.5446666666666666,0.5364609382814844
4,180,0.06817484647035599,0.5873333333333334,0.5708712613784135
4,185,0.0434156097471714,0.6281666666666667,0.6163849154746424
4,190,0.026205217465758324,0.659,0.6332899869960988
4,195,0.030641285702586174,0.7668333333333334,0.7620286085825748
4,200,0.013520046137273312,0.7941666666666667,0.7792337701310393
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
5,5,0.06038833037018776,0.6666666666666666,0.6677335467093418
5,10,0.01547732762992382,0.6211666666666666,0.6214242848569714
5,15,0.04105820134282112,0.7198333333333333,0.71874374874975
5,20,0.05179758369922638,0.6523333333333333,0.6448289657931586
5,25,0.045936066657304764,0.7788333333333334,0.7804560912182437
5,30,0.01817856729030609,0.7431666666666666,0.7476495299059812
5,35,0.036714568734169006,0.7965,0.795259051810362
5,40,0.01687079854309559,0.6976666666666667,0.6950390078015604
5,45,0.045491140335798264,0.7938333333333333,0.7940588117623525
5,50,0.012885320000350475,0.8241666666666667,0.8285657131426285
5,55,0.005665862932801247,0.8981666666666667,0.8965793158631726
5,60,0.003498626174405217,0.8918333333333334,0.8976795359071814
5,65,0.004363836720585823,0.8818333333333334,0.8781756351270255
5,70,0.005440398585051298,0.846,0.8450690138027606
5,75,0.019006861373782158,0.8716666666666667,0.868873774754951
5,80,0.004273332189768553,0.8795,0.8762752550510102
5,85,0.00249683391302824,0.9161666666666667,0.9086817363472695
5,90,0.0021981247700750828,0.8965,0.8906781356271254
5,95,0.006293791346251965,0.8501666666666666,0.842868573714743
5,100,0.02575058490037918,0.7211666666666666,0.7133426685337068
5,105,0.03839581087231636,0.7768333333333334,0.7701540308061612
5,110,0.010432776063680649,0.8425,0.839367873574715
5,115,0.0028243623673915863,0.903,0.9008801760352071
5,120,0.004430403467267752,0.9048333333333334,0.8980796159231846
5,125,0.009663502685725689,0.771,0.7624524904980996
5,130,0.03145516291260719,0.843,0.8410682136427285
5,135,0.007743962574750185,0.8618333333333333,0.8616723344668934
5,140,0.005375314503908157,0.8805,0.8732746549309862
5,145,0.004948037676513195,0.8488333333333333,0.8389677935587118
5,150,0.009865980595350266,0.894,0.8904780956191238
5,155,0.00520511856302619,0.84,0.8284656931386277
5,160,0.01324656791985035,0.8858333333333334,0.8806761352270455
5,165,0.003196453209966421,0.8983333333333333,0.8861772354470894
5,170,0.005804700776934624,0.8966666666666666,0.8908781756351271
5,175,0.007149438839405775,0.8123333333333334,0.8027605521104221
5,180,0.02838693931698799,0.8476666666666667,0.841868373674735
5,185,0.009897139854729176,0.814,0.8037607521504301
5,190,0.008579867891967297,0.8276666666666667,0.8204640928185637
5,195,0.005342308897525072,0.8523333333333334,0.8486697339467894
5,200,0.02415548637509346,0.8733333333333333,0.8680736147229446
sim_seed,num_iter,training_loss,training_accuracy,test_accuracy
1,5,0.009728014469146729,0.652,0.6533960188056417
1,10,0.07461386919021606,0.4121666666666667,0.414924477343203
1,15,0.05700758844614029,0.545,0.5447634290287087
1,20,0.02021174319088459,0.6198333333333333,0.6120836250875262
1,25,0.020121242851018906,0.7773333333333333,0.7747324197259178
1,30,0.011964322067797184,0.825,0.8291487446233871
1,35,0.005414418410509825,0.8428333333333333,0.8393518055416624
1,40,0.008914120495319366,0.8475,0.845853756126838
1,45,0.014340808615088463,0.6975,0.6996098829648895
1,50,0.01330080907791853,0.7415,0.7349204761428428
1,55,0.009993592277169228,0.7616666666666667,0.7634290287086126
1,60,0.014305750839412212,0.7776666666666666,0.776332899869961
1,65,0.0046049985103309155,0.7935,0.7928378513554066
1,70,0.008554687723517418,0.7941666666666667,0.785335600680204
1,75,0.015837065875530243,0.7618333333333334,0.7571271381414424
1,80,0.0168410986661911,0.7471666666666666,0.7403220966289887
1,85,0.011294690892100334,0.6796666666666666,0.6778033410023007
1,90,0.028828132897615433,0.774,0.7678303491047315
1,95,0.007822432555258274,0.7908333333333334,0.7860358107432229
1,100,0.00466360105201602,0.8471666666666666,0.8325497649294789
1,105,0.0024823469575494528,0.9065,0.9002700810243073
1,110,0.0020229739602655172,0.9096666666666666,0.8982694808442533
1,115,0.0020457899663597345,0.9128333333333334,0.9046714014204261
1,120,0.0017811785219237208,0.9221666666666667,0.9074722416725017
1,125,0.00171268277335912,0.9158333333333334,0.9061718515554666
